species,sex,weight,season,date_collected,plot,,,,,,,,,,, 
dm,f,NA,2013,2013-07-16,2,,,,,,,,,,,
dm,m,33,2013,2013-07-16,7,,,,,,,,,,,
dm,m,NA,2013,2013-07-16,3,,,,,,,,,,,
dm,m,NA,2013,2013-07-16,1,,,,,,,,,,,
dm,f,29,2013,2013-07-18,4,,,,,,,,,,,
dm,f,37,2013,2013-07-18,6,,,,,,,,,,,
dm,m,40,2013,2013-07-18,3,,,,,,,,,,,
dm,m,48,2013,2013-07-18,7,,,,,,,,,,,
dm,m,44,2014,2014-01-08,2,,,,,,,,,,,
dm,m,45,2014,2014-01-08,2,,,,,,,,,,,
dm,f,36,2014,2014-01-09,1,,,,,,,,,,,
dm,m,40,2014,2014-01-09,1,,,,,,,,,,,
dm,m,52,2014,2014-02-18,2,,,,,,,,,,,
dm,f,44,2014,2014-03-13,1,,,,,,,,,,,
dm,f,51,2014,2014-03-13,1,,,,,,,,,,,
do,f,52,2013,2013-08-19,8,,,,,,,,,,,
do,f,33,2013,2013-10-17,3,,,,,,,,,,,
do,f,50,2013,2013-10-17,3,,,,,,,,,,,
do,f,40,2013,2013-12-10,9,,,,,,,,,,,
do,m,45,2013,2013-12-10,1,,,,,,,,,,,
do,f,41,2013,2013-12-11,8,,,,,,,,,,,
ds,f,117,2013,2013-11-12,9,,,,,,,,,,,
ds,f,107,2013,2013-11-13,4,,,,,,,,,,,
ds,f,115,2013,2013-11-13,4,,,,,,,,,,,
ds,f,122,2013,2013-11-13,11,,,,,,,,,,,
ds,f,126,2013,2013-11-13,11,,,,,,,,,,,
ds,f,NA,2013,2013-11-13,14,,,,,,,,,,,
ds,m,NA,2013,2013-11-13,17,,,,,,,,,,,
ds,m,NA,2014,2014-01-08,2,,,,,,,,,,,
na,m,218,2014,2014-02-18,2,,,,,,,,,,,
ot,NA,NA,2014,2014-01-08,2,,,,,,,,,,,
ox,NA,NA,2014,2014-01-08,2,,,,,,,,,,,
pf,f,7,2014,2014-01-08,2,,,,,,,,,,,
pf,f,7,2014,2014-02-18,2,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
